地区名,センター,燃える,燃えない,プラスチック、カン、ペットボトル,ビン
相生,鯖江市環境政策課,月 木,金,金,金
あおい町,鯖江市環境政策課,月 木,火,火,火
青葉町,鯖江市環境政策課,火 金,水,水,水
朝霞町内会,鯖江市環境政策課,月 木,火,火,火
旭町1丁目,鯖江市環境政策課,火 金,木,木,木
旭町2丁目,鯖江市環境政策課,火 金,木,木,木
旭町3丁目,鯖江市環境政策課,月 木,火,火,火
旭町4丁目,鯖江市環境政策課,月 木,火,火,火
あすなろ町内会,鯖江市環境政策課,月 木,火,火,火
あずま町内会,鯖江市環境政策課,月 木,火,火,火
莇生田町,鯖江市環境政策課,火 金,水,水,水
有定町1丁目,鯖江市環境政策課,月 木,金,金,金
有定町2丁目,鯖江市環境政策課,月 木,金,金,金
有定町3丁目,鯖江市環境政策課,月 木,金,金,金
石田上町,鯖江市環境政策課,火 金,木,木,木
石田下町,鯖江市環境政策課,火 金,木,木,木
石田中町,鯖江市環境政策課,火 金,木,木,木
石生谷町,鯖江市環境政策課,月 木,金,金,金
磯部町,鯖江市環境政策課,月 木,火,火,火
入町,鯖江市環境政策課,火 金,水,水,水
漆原町,鯖江市環境政策課,月 木,金,金,金
大倉町,鯖江市環境政策課,月 木,火,火,火
大野町,鯖江市環境政策課,月 木,火,火,火
落井町,鯖江市環境政策課,月 木,火,火,火
乙坂今北町,鯖江市環境政策課,月 木,火,火,火
尾花町,鯖江市環境政策課,火 金,水,水,水
片山町,鯖江市環境政策課,火 金,水,水,水
金谷町,鯖江市環境政策課,火 金,水,水,水
上氏家町,鯖江市環境政策課,月 木,金,金,金
上河内町,鯖江市環境政策課,火 金,水,水,水
上河端町,鯖江市環境政策課,火 金,水,水,水
上鯖江1丁目,鯖江市環境政策課,火 金,木,木,木
上鯖江2丁目,鯖江市環境政策課,火 金,木,木,木
上杉本,鯖江市環境政策課,火 金,水,水,水
上戸口町,鯖江市環境政策課,月 木,火,火,火
神中町1丁目,鯖江市環境政策課,月 木,金,金,金
神中町2丁目,鯖江市環境政策課,月 木,金,金,金
神中町3丁目,鯖江市環境政策課,月 木,金,金,金
上野田町,鯖江市環境政策課,月 木,金,金,金
川去町,鯖江市環境政策課,月 木,火,火,火
川島町,鯖江市環境政策課,月 木,火,火,火
河和田町,鯖江市環境政策課,火 金,水,水,水
北中町,鯖江市環境政策課,火 金,水,水,水
北野町1丁目,鯖江市環境政策課,火 金,木,木,木
北野町2丁目,鯖江市環境政策課,火 金,木,木,木
熊田町,鯖江市環境政策課,月 木,火,火,火
下司町,鯖江市環境政策課,月 木,金,金,金
小泉町,鯖江市環境政策課,月 木,火,火,火
小黒町1丁目,鯖江市環境政策課,月 木,金,金,金
小黒町2丁目,鯖江市環境政策課,月 木,金,金,金
小黒町3丁目,鯖江市環境政策課,月 木,金,金,金
五郎丸町,鯖江市環境政策課,月 木,火,火,火
幸町1丁目,鯖江市環境政策課,月 木,金,金,金
幸町2丁目,鯖江市環境政策課,月 木,金,金,金
桜町1丁目,鯖江市環境政策課,火 金,木,木,木
桜町2丁目,鯖江市環境政策課,月 木,金,金,金
桜町3丁目,鯖江市環境政策課,月 木,金,金,金
定次町,鯖江市環境政策課,月 木,火,火,火
定次団地,鯖江市環境政策課,月 木,火,火,火
沢町,鯖江市環境政策課,火 金,水,水,水
三六町1丁目,鯖江市環境政策課,火 金,木,木,木
三六町2丁目,鯖江市環境政策課,火 金,木,木,木
寺中町,鯖江市環境政策課,火 金,水,水,水
四方谷町,鯖江市環境政策課,月 木,火,火,火
持明寺町,鯖江市環境政策課,月 木,火,火,火
下氏家町,鯖江市環境政策課,月 木,金,金,金
下河端町,鯖江市環境政策課,火 金,水,水,水
下新庄町,鯖江市環境政策課,月 木,火,火,火
下杉本,鯖江市環境政策課,火 金,水,水,水
下野田町,鯖江市環境政策課,月 木,金,金,金
新出,鯖江市環境政策課,火 金,水,水,水
新町,鯖江市環境政策課,月 木,火,火,火
神明町1丁目,鯖江市環境政策課,火 金,木,木,木
神明町2丁目,鯖江市環境政策課,火 金,木,木,木
神明町3丁目,鯖江市環境政策課,火 金,木,木,木
神明町4丁目,鯖江市環境政策課,火 金,木,木,木
神明町5丁目,鯖江市環境政策課,火 金,木,木,木
新横江1丁目,鯖江市環境政策課,月 木,火,火,火
新横江2丁目,鯖江市環境政策課,月 木,火,火,火
住吉町1丁目,鯖江市環境政策課,月 木,金,金,金
住吉町2丁目,鯖江市環境政策課,月 木,金,金,金
住吉町3丁目,鯖江市環境政策課,月 木,金,金,金
青武台団地,鯖江市環境政策課,月 木,金,金,金
大正寺町,鯖江市環境政策課,月 木,火,火,火
糺町,鯖江市環境政策課,火 金,水,水,水
田所町,鯖江市環境政策課,月 木,金,金,金
田村町,鯖江市環境政策課,月 木,火,火,火
長泉寺町1丁目,鯖江市環境政策課,月 木,金,金,金
長泉寺町2丁目,鯖江市環境政策課,月 木,金,金,金
つつじヶ丘町,鯖江市環境政策課,月 木,金,金,金
椿坂,鯖江市環境政策課,火 金,水,水,水
当田町,鯖江市環境政策課,月 木,金,金,金
戸口町,鯖江市環境政策課,月 木,火,火,火
鳥羽1丁目,鯖江市環境政策課,月 木,金,金,金
鳥羽2丁目,鯖江市環境政策課,月 木,金,金,金
鳥羽3丁目,鯖江市環境政策課,月 木,金,金,金
鳥井町,鯖江市環境政策課,月 木,金,金,金
南井町,鯖江市環境政策課,月 木,火,火,火
中杉本,鯖江市環境政策課,火 金,水,水,水
中戸口町,鯖江市環境政策課,月 木,火,火,火
中野町 木引,鯖江市環境政策課,火 金,水,水,水
中野町 出口,鯖江市環境政策課,火 金,水,水,水
中野町 花出,鯖江市環境政策課,火 金,水,水,水
中野町 原,鯖江市環境政策課,火 金,水,水,水
中野町 樋口,鯖江市環境政策課,火 金,水,水,水
中野町 曲木,鯖江市環境政策課,火 金,水,水,水
中野町 まち,鯖江市環境政策課,火 金,水,水,水
中野町 松成,鯖江市環境政策課,火 金,水,水,水
西大井町,鯖江市環境政策課,月 木,火,火,火
西杉本,鯖江市環境政策課,火 金,水,水,水
西番町,鯖江市環境政策課,火 金,水,水,水
